Reference,Verse,Topics
Matthew 22:39,And the second is equally important: ‘Love your neighbor as yourself.’,Love|Neighbor|Commandment
Proverbs 16:28,A troublemaker plants seeds of strife; gossip separates the best of friends.,Strife|Gossip|Relationships
Proverbs 17:17,"A friend is always loyal, and a brother is born to help in time of need.",Friendship|Loyalty|Support
Proverbs 15:4,Gentle words are a tree of life; a deceitful tongue crushes the spirit.,Words|Encouragement|Life
Proverbs 15:13,A glad heart makes a happy face; a broken heart crushes the spirit.,Joy|Sorrow|Heart
Proverbs 15:18,A hot-tempered person starts fights; a cool-tempered person stops them.,Anger|Peace|Temper
Proverbs 17:22,"A cheerful heart is good medicine, but a broken spirit saps a person’s strength.",Joy|Healing|Spirit
Proverbs 18:24,"There are “friends” who destroy each other, but a real friend sticks closer than a brother.",Friendship|Loyalty|Closeness
John 13:34-35,"So now I am giving you a new commandment: Love each other. Just as I have loved you, you should love each other. Your love for one another will prove to the world that you are my disciples.",Love|Discipleship|Community
Proverbs 15:1,"A gentle answer deflects anger, but harsh words make tempers flare.",Words|Anger|Peace
1 Peter 4:8,"Most important of all, continue to show deep love for each other, for love covers a multitude of sins.",Love|Forgiveness|Community
1 Peter 5:10,"In his kindness God called you to share in his eternal glory by means of Christ Jesus. So after you have suffered a little while, he will restore, support, and strengthen you, and he will place you on a firm foundation.",Grace|Suffering|Restoration
Matthew 28:20,"And be sure of this: I am with you always, even to the end of the age.",Presence|Faith|Assurance
Matthew 22:37-38,"Jesus replied, “‘You must love the Lord your God with all your heart, all your soul, and all your mind.’ This is the first and greatest commandment.",Love|God|Commandment
Romans 5:5,"And this hope will not lead to disappointment. For we know how dearly God loves us, because he has given us the Holy Spirit to fill our hearts with his love.",Hope|Love|Spirit
John 17:11,"Now I am departing from the world; they are staying in this world, but I am coming to you. Holy Father, you have given me your name; now protect them by the power of your name so that they will be united just as we are.",Unity|Protection|Prayer
Philippians 1:6,"And I am certain that God, who began the good work within you, will continue his work until it is finally finished on the day when Christ Jesus returns.",Faith|Perseverance|Completion
Psalm 119:45,"I will walk in freedom, for I have devoted myself to your commandments.",Freedom|Obedience|Faith
Philippians 4:19,"And this same God who takes care of me will supply all your needs from his glorious riches, which have been given to us in Christ Jesus.",Provision|Trust|God
Matthew 25:40,"And the King will say, ‘I tell you the truth, when you did it to one of the least of these my brothers and sisters, you were doing it to me!’",Service|Love|Compassion
John 17:3,"And this is the way to have eternal life—to know you, the only true God, and Jesus Christ, the one you sent to earth.",EternalLife|Knowledge|God
Romans 8:28,And we know that God causes everything to work together for the good of those who love God and are called according to his purpose for them.,Providence|Love|Purpose
John 8:32,"And you will know the truth, and the truth will set you free.",Truth|Freedom|Knowledge
Proverbs 12:25,Worry weighs a person down; an encouraging word cheers a person up.,Anxiety|Encouragement|Words
Proverbs 27:19,"As a face is reflected in water, so the heart reflects the real person.",Heart|Reflection|Identity
Matthew 7:7,"Keep on asking, and you will receive what you ask for. Keep on seeking, and you will find. Keep on knocking, and the door will be opened to you.",Prayer|Seeking|Provision
Ephesians 4:32,"Instead, be kind to each other, tenderhearted, forgiving one another, just as God through Christ has forgiven you.",Kindness|Forgiveness|Love
Psalm 37:7,"Be still in the presence of the Lord, and wait patiently for him to act. Don’t worry about evil people who prosper or fret about their wicked schemes.",Patience|Trust|Peace
Psalm 31:24,"So be strong and courageous, all you who put your hope in the Lord!",Strength|Courage|Hope
Psalm 63:3,Your unfailing love is better than life itself; how I praise you!,Love|Praise|Value
Psalm 119:67,I used to wander off until you disciplined me; but now I closely follow your word.,Discipline|Obedience|Faith
Psalm 33:18,"But the Lord watches over those who fear him, those who rely on his unfailing love.",Protection|Hope|Love
1 John 4:7,"Dear friends, let us continue to love one another, for love comes from God. Anyone who loves is a child of God and knows God.",Love|God|Community
Proverbs 16:8,"Better to have little, with godliness, than to be rich and dishonest.",Righteousness|Justice|Contentment
